"ID","sites","Long","Lat","ID.1","blade","flake","core","by.products.waste","tot.no.ind","tot.with.ind","blade.PN","flake.PN","core.PN","by.products.waste.PN","Production_score","Rank","Cluster_raw","Cluster"
1,"Masseria Montevergine - Torre de Rubeis",18.4798,40.1536,112,4,0,0,0,4,4,0.102380342974149,0,0,0,0.102380342974149,1,1,1
2,"Torre Sabea",18.00634,40.07301,70,7,1,0,0,8,8,0.179165600204761,0.0165289256198347,0,0,0.195694525824595,1,1,1
3,"Terragne",17.6198,40.3705,109,0,2,0,0,2,18,0,0.0330578512396694,0,0,0.0330578512396694,1,1,1
4,"Sant'Anna di Oria",17.616931,40.498824,61,441,198,6,854,1499,1582,11.2874328128999,3.27272727272727,2.35294117647059,45.2330508474576,62.1461521095554,3,3,3
5,"Le Macchie (Ripagnola Polignano a mare)",17.2025,41.0131,89,10,16,0,0,26,28,0.255950857435372,0.264462809917355,0,0,0.520413667352728,1,1,1
6,"Spila Nakovana",17.08355,43.00369,66,2,0,1,0,3,3,0.0511901714870745,0,0.392156862745098,0,0.443347034232173,1,1,1
7,"Lokvica",16.875664,42.945019,119,3,1,2,0,3,3,0.0767852572306117,0.0165289256198347,0.784313725490196,0,0.877627908340643,1,1,1
8,"Balsignano",16.7215,41.0696,88,17,15,1,0,33,34,0.435116457640133,0.247933884297521,0.392156862745098,0,1.07520720468275,1,1,1
9,"Trasanello I",16.672482,40.674017,71,6,4,0,0,10,10,0.153570514461223,0.0661157024793388,0,0,0.219686216940562,1,1,1
10,"Trasanello II",16.672482,40.674017,72,15,25,0,0,40,40,0.383926286153059,0.413223140495868,0,0,0.797149426648926,1,1,1
11,"Pulo di Molfetta Fondo Azzolini",16.575779,41.194488,63,5,3,0,0,8,8,0.127975428717686,0.0495867768595041,0,0,0.17756220557719,1,1,1
12,"Trasano",16.5336,40.6693,92,9,3,0,0,12,12,0.230355771691835,0.0495867768595041,0,0,0.279942548551339,1,1,1
13,"Susac Poje",16.517,42.767,76,1,0,0,0,1,1,0.0255950857435372,0,0,0,0.0255950857435372,1,1,1
14,"Favella",16.437459,39.684086,20,2,7,0,0,9,16,0.0511901714870745,0.115702479338843,0,0,0.166892650825917,1,1,1
15,"Piana di Curinga",16.29868,38.83539,54,41,120,3,51,215,225,1.04939851548503,1.98347107438017,1.17647058823529,2.70127118644068,6.91061136454116,2,2,2
16,"Scamuso I",16.2626,40.571,102,2,14,0,0,16,16,0.0511901714870745,0.231404958677686,0,0,0.28259513016476,1,1,1
17,"Grotta San Michele Arcangelo I",16.1575,39.7799,32,2,3,0,2,7,9,0.0511901714870745,0.0495867768595041,0,0.105932203389831,0.206709151736409,1,1,1
18,"Grotta San Michele Arcangelo II",16.1575,39.7799,30,104,40,2,2,148,208,2.66188891732787,0.661157024793388,0.784313725490196,0.105932203389831,4.21329187100129,1,1,1
19,"Palata 1",16.0657,41.2239,111,1,0,0,0,1,1,0.0255950857435372,0,0,0,0.0255950857435372,1,1,1
20,"Danilo-Bitinj",16.0492,43.7461,105,49,18,3,3,73,75,1.25415920143332,0.297520661157025,1.17647058823529,0.158898305084746,2.88704875591039,1,1,1
21,"Pokrovnik",16.0297,43.8608,106,10,3,0,6,19,19,0.255950857435372,0.0495867768595041,0,0.317796610169492,0.623334244464368,1,1,1
22,"Umbro Bova Marina",15.9178,37.9392,74,148,374,21,160,703,703,3.78807269004351,6.18181818181818,8.23529411764706,8.47457627118644,26.6797612606952,3,3,3
23,"Grotta Scaloria",15.912,41.6367,110,8,2,1,0,11,11,0.204760685948298,0.0330578512396694,0.392156862745098,0,0.629975399933065,1,1,1
24,"Masseria Santa Tecchia",15.7853,41.5263,51,4,0,0,0,4,4,0.102380342974149,0,0,0,0.102380342974149,1,1,1
25,"Masseria Candelaro II",15.750553,41.61289,46,26,16,0,2,44,58,0.665472229331968,0.264462809917355,0,0.105932203389831,1.03586724263915,1,1,1
26,"Masseria Candelaro III",15.750553,41.61289,47,28,14,0,1,43,51,0.716662400819043,0.231404958677686,0,0.0529661016949153,1.00103346119164,1,1,1
27,"Krivače",15.71767,44.1667,118,3,0,0,0,3,3,0.0767852572306117,0,0,0,0.0767852572306117,1,1,1
28,"Coppa Nevigata",15.55,41.38,17,1,0,0,0,1,1,0.0255950857435372,0,0,0,0.0255950857435372,1,1,1
29,"Ex Palestra GIL",15.540967,41.452628,19,1,3,0,0,4,4,0.0255950857435372,0.0495867768595041,0,0,0.0751818626030414,1,1,1
30,"Durdeva greda",15.504,44.526,18,1,0,0,0,1,1,0.0255950857435372,0,0,0,0.0255950857435372,1,1,1
31,"Barice Smilcic",15.418,44.1172,108,0,1,0,0,1,1,0,0.0165289256198347,0,0,0.0165289256198347,1,1,1
32,"Ripatetta",15.40402,41.43957,59,5,1,0,0,6,8,0.127975428717686,0.0165289256198347,0,0,0.144504354337521,1,1,1
33,"Masseria Acquasalsa",15.34183,41.491544,45,5,4,0,0,9,9,0.127975428717686,0.0661157024793388,0,0,0.194091131197025,1,1,1
34,"Rocchicella-Paliké",14.700283,37.332642,128,0,9,0,0,9,9,0,0.148760330578512,0,0,0.148760330578512,1,1,1
35,"Marcianese",14.39301,42.22498,44,11,2,0,0,13,14,0.28154594317891,0.0330578512396694,0,0,0.314603794418579,1,1,1
36,"Villa Badessa (Cepegatti)",14.0832,42.3745,87,3,2,0,0,5,5,0.0767852572306117,0.0330578512396694,0,0,0.109843108470281,1,1,1
37,"Colle Cera",13.987246,42.430353,15,83,38,1,6,128,130,2.12439211671359,0.628099173553719,0.392156862745098,0.317796610169492,3.4624447631819,1,1,1
38,"Grotta dei Piccioni",13.9621,42.2219,27,3,3,0,0,6,6,0.0767852572306117,0.0495867768595041,0,0,0.126372034090116,1,1,1
39,"Kargadur",13.95064,44.81915,37,14,8,1,8,31,31,0.358331200409521,0.132231404958678,0.392156862745098,0.423728813559322,1.30644828167262,1,1,1
40,"Catignano",13.943843,42.34267,13,195,138,49,0,382,497,4.99104171998976,2.28099173553719,19.2156862745098,0,26.4877197300368,3,3,3
41,"Rio Tana",13.7567,41.8558,116,28,11,0,0,39,43,0.716662400819043,0.181818181818182,0,0,0.898480582637225,1,1,1
42,"Colle Santo Stefano",13.66639,41.95389,16,745,208,13,94,1060,1062,19.0683388789352,3.43801652892562,5.09803921568627,4.97881355932203,32.5832081828692,3,3,3
43,"Grotta Sant'Angelo I",13.626537,42.754547,34,6,0,1,0,7,7,0.153570514461223,0,0.392156862745098,0,0.545727377206321,1,1,1
44,"Grotta Sant'Angelo II",13.626537,42.754547,35,1,0,0,0,1,1,0.0255950857435372,0,0,0,0.0255950857435372,1,1,1
45,"Villaggio Ortucchio",13.6123,41.9441,86,1,0,0,0,1,1,0.0255950857435372,0,0,0,0.0255950857435372,1,1,1
46,"Portonovo",13.57343,43.56373,56,4,0,0,0,4,4,0.102380342974149,0,0,0,0.102380342974149,1,1,1
47,"Grotta Continenza",13.531877,41.948734,25,16,1,0,0,17,17,0.409521371896596,0.0165289256198347,0,0,0.426050297516431,1,1,1
48,"Maddalena di Muccia",13.05987,43.07352,43,8,2,0,0,10,16,0.204760685948298,0.0330578512396694,0,0,0.237818537187967,1,1,1
49,"Pian di Calisti",12.948956,43.252201,53,4,2,0,0,6,6,0.102380342974149,0.0330578512396694,0,0,0.135438194213818,1,1,1
50,"Grotta dei Cocci",12.5106,42.5157,26,5,0,0,0,5,5,0.127975428717686,0,0,0,0.127975428717686,1,1,1
51,"La Marmotta",12.2745,42.1044,39,847,186,60,86,1179,1179,21.679037624776,3.07438016528926,23.5294117647059,4.55508474576271,52.8379143005339,3,3,3
52,"La Lucciola",12.08612,43.06918,38,5,2,1,0,8,17,0.127975428717686,0.0330578512396694,0.392156862745098,0,0.553190142702454,1,1,1
53,"Fornace Cappuccini",11.872712,44.283427,22,167,85,3,51,306,349,4.27437931917072,1.40495867768595,1.17647058823529,2.70127118644068,9.55707977153264,2,2,2
54,"Pienza",11.6767,43.0787,117,5,0,0,0,5,5,0.127975428717686,0,0,0,0.127975428717686,1,1,1
55,"Savignano sul Panaro",11.03461,44.475959,62,0,1,0,0,1,1,0,0.0165289256198347,0,0,0.0165289256198347,1,1,1
56,"Le Secche",10.882183,42.38172,42,74,52,2,40,168,174,1.89403634502176,0.859504132231405,0.784313725490196,2.11864406779661,5.65649827053997,2,2,2
57,"Fiorano Modenese",10.823464,44.544107,21,4,0,0,0,4,4,0.102380342974149,0,0,0,0.102380342974149,1,1,1
58,"Casa Querciolaia",10.361458,43.556578,11,16,6,0,2,24,24,0.409521371896596,0.0991735537190083,0,0.105932203389831,0.614627129005435,1,1,1
59,"Cala Giovanna",10.0938,42.58964,9,107,78,5,41,231,231,2.73867417455848,1.28925619834711,1.96078431372549,2.17161016949153,8.16032485612261,2,2,2
60,"La Scola",10.0833,42.58,84,102,131,3,46,282,295,2.6106987458408,2.16528925619835,1.17647058823529,2.4364406779661,8.38889926824054,2,2,2
61,"Strette",9.37738,42.68974,75,5,40,1,71,117,117,0.127975428717686,0.661157024793388,0.392156862745098,3.76059322033898,4.94188253659516,2,2,2
62,"Abri Albertini",8.9739,42.3313,1,1,0,0,0,1,1,0.0255950857435372,0,0,0,0.0255950857435372,1,1,1
63,"Renaghju",8.921266,41.526647,118,52,555,0,46,653,NA,1.33094445866394,9.17355371900826,0,2.4364406779661,12.9409388556383,2,2,2
64,"Basi I",8.79853,41.72871,8,6,3,1,16,26,26,0.153570514461223,0.0495867768595041,0.392156862745098,0.847457627118644,1.44277178118447,1,1,1
65,"Su Carroppu",8.559799,39.207134,100,48,31,5,0,84,NA,1.22856411568979,0.512396694214876,1.96078431372549,0,3.70174512363015,1,1,1
66,"Rio Saboccu",8.55253,39.688226,101,76,608,31,49,764,NA,1.94522651650883,10.0495867768595,12.156862745098,2.59533898305085,26.7470150215172,3,3,3
67,"Sa Punta",8.507104,39.720056,67,222,954,27,218,1421,NA,5.68210903506527,15.7685950413223,10.5882352941176,11.5466101694915,43.5855495399968,3,3,3
68,"Cuccuru is Arrius",8.502995,39.920392,68,29,1981,9,26,2045,NA,0.74225748656258,32.7438016528926,3.52941176470588,1.3771186440678,38.3925895482288,3,3,3
69,"Arene Candide II",8.32828,44.1623,120,13,8,0,0,21,NA,0.332736114665984,0.132231404958678,0,0,0.464967519624662,1,1,1
70,"Arene Candide I",8.32828,44.162304,3,21,10,2,2,35,35,0.537496800614282,0.165289256198347,0.784313725490196,0.105932203389831,1.59303198569266,1,1,1
71,"Grotta Pollera",8.314602,44.200546,28,8,0,0,0,8,8,0.204760685948298,0,0,0,0.204760685948298,1,1,1
72,"Grande Rivoire",5.6444,45.2217,24,1,0,0,0,1,1,0.0255950857435372,0,0,0,0.0255950857435372,1,1,1
73,"Pont de Roque-Haute",3.36003,43.2927,55,4,1,0,1,6,6,0.102380342974149,0.0165289256198347,0,0.0529661016949153,0.171875370288899,1,1,1
74,"Peiro Signado",3.32891,43.3083,52,6,6,0,4,16,16,0.153570514461223,0.0991735537190083,0,0.211864406779661,0.464608474959893,1,1,1
